name,course,department,overall,workload,number
"Tech Ethics: AI, Biotech, and the Future of Human Nature",GENED 1058,General Education,4.1,2.1,98
Public Speaking Practicum,EXPOS 40 009,Expository Writing,4.8,3.4,85
Molecular and Cellular Immunology,MCB 169,Molecular & Cellular Biology,4.3,4,58
Introduction to Statistics for the Behavioral Sciences,PSY 1900,Psychology,4,3.4,74
Linear Algebra and Differential Equations,MATH 21B,Mathematics,4.2,9.7,77
Elementary Modern Chinese,CHNSE BA 001,East Asian Langs & Civ,4.5,7.2,61
"Quantum, Statistical, and Computational Foundations of Chemistry",PHYSCI 10,Chemistry & Chemical Biology,3.9,8.8,29
Introduction to Materials Science and Engineering,ENG-SCI 190,Engineering Sciences,2.8,6.7,26
Deep Sea Biology,OEB 119,Organismic & Evolutionary Biol,4.1,2.5,67
The History of Economic Growth,ECON 1342,Economics,4.2,4.2,30
Advanced Spanish Language I: Viewing the Hispanic World,SPANSH 40 004,Romance Languages & Lit,4.6,4.4,52
Neurobiology of Behavior,NEURO 80,Neuroscience,4,4.6,38
Kants Ethical Theory,PHIL 168,Philosophy,4.4,6.3,40
Statistical Inference for Scientists and Engineers,APMTH 101,Applied Mathematics,3.8,6.8,33
Can We Know Our Past? Archaeologys Dirty Little Secrets,GENED 1105,General Education,4,3.9,54
Elementary Japanese,JAPAN BA 003,East Asian Langs & Civ,4.9,8.3,41
Opera,MUSIC 20,Music,4,4.3,51
Elementary Arabic I,ARABIC AA 003,Near Eastern Languages & Civ,4.2,7.4,48
Health: A Positive Psychology Perspective,PSY 1005,Psychology,4.2,2.4,64
"Advanced Scientific Computing: Stochastic Methods for Data Analysis, Inference and Optimization",APMTH 207,Applied Mathematics,3.7,13,64
American Dreams Made in Hollywood,GENED 1043,General Education,4.1,3.8,110
The Emotional Mind,PSY 1702,Psychology,4.5,2.7,46
Upper level French : Current Events and Media in the Francophone World,FRENCH 30 002,Romance Languages & Lit,3.6,4.6,31
Beginning Spanish I,SPANSH 10 005,Romance Languages & Lit,4.5,4.1,68
"Race, Capitalism, and the Coming of the Civil War",HIST 1028,History,4.4,4.5,36
Beginning Spanish II,SPANSH 11 007,Romance Languages & Lit,4.6,5.2,70
Intermediate Modern Chinese,CHNSE 120A 001,East Asian Langs & Civ,4.7,5,49
Your Brain on Drugs: Psychopharmacology,PSY 1201,Psychology,4.1,3.1,90
Improving Governance in Developing Countries: What Can We Learn from Experiments?,GOV 1263,Government,3.8,4,35
Principles of Organic Chemistry,CHEM 17,Chemistry & Chemical Biology,3,9.8,211
Time Series & Prediction,STAT 131,Statistics,4,6.4,45
Elementary Chinese for Advanced Beginners,CHNSE BX 003,East Asian Langs & Civ,4.6,6.3,29
Game Theory with Applications to Social Behavior,ECON 1057,Economics,3.2,6.2,69
Beginning German,GERMAN 10A 2,Germanic Languages & Lit,4.5,5,33
"Language, Structure, and Cognition",LING 83,Linguistics,4.1,4,107
Knowing the World: An Introduction to the History of Science,HISTSCI 100,History of Science,4.2,4.4,86
Performing Latinidad,SPANSH 126,Romance Languages & Lit,4.8,4,32
Intermediate Spanish: Language and Culture in the Hispanic World,SPANSH 20 002,Romance Languages & Lit,4.3,4.2,82
Power and Civilization: China,GENED 1136,General Education,3.8,5.2,55
Intermediate Macroeconomics,ECON 1010B,Economics,3.7,4.9,257
Intermediate Microeconomics,ECON 1010A,Economics,3.4,7.1,209
Economic Theory,ECON 2010C,Economics,4,13.4,34
Advanced Machine Learning,COMPSCI 281,Computer Science,3.9,19,48
Introduction to Computer Science,COMPSCI 50,Computer Science,3.7,11.2,633
Evolutionary Human Physiology and Anatomy,LIFESCI 2,Organismic & Evolutionary Biol,4.3,5.7,115
"An Integrated Introduction to the Life Sciences: Chemistry, Molecular Biology, and Cell Biology",LIFESCI 1A,Molecular & Cellular Biology,3.5,7.6,310
Statistical Inference I,STAT 211,Statistics,4.1,10.5,35
"The Caribbean Crucible: Colonialism, Capitalism and Post-Colonial Misdevelopment In The Region",GENED 1019,General Education,4,3.4,28
Introduction to Optimization: Models and Methods,APMTH 121,Applied Mathematics,3.8,9.2,60
"Complex Analysis and Series Expansions for Applications to Science, Engineering and Finance",APMTH 104,Applied Mathematics,3.8,8.8,62
Foundations of Comparative Politics,GOV 20,Government,3.7,7.2,77
Introduction to Functions and Calculus I,MATH MA,Mathematics,3.8,8.4,154
A Humanities Colloquium: From Homer to Garcia Marquez,HUMAN 10A,Humanities,4.2,9.6,76
"Moctezumas Mexico, Then and Now: The Past as Present in North America",GENED 1148,General Education,4.1,3,85
Multivariable Calculus for Social Sciences,MATH 18A,Mathematics,4.1,8.2,47
International Political Economy,GOV 1780,Government,4.3,5.8,44
Introduction to Asian American Literature: What Is Asian American Literature?,ENGLISH 181A,English,4.4,4.9,67
Algebra I: Theory of Groups and Vector Spaces,MATH 122,Mathematics,4.3,9.1,58
Privacy and Technology,COMPSCI 105,Computer Science,4.8,5,31
Pre-Advanced Modern Chinese,CHNSE 130A 003,East Asian Langs & Civ,4.7,5.6,35
"Faith and Authenticity: Religion, Existentialism and the Human Condition",GENED 1069,General Education,4.3,4.6,66
Understanding Darwinism,GENED 1004,General Education,4.1,3,146
